"x","y"
4.15461574982495,4.89022010065389
4.87812276101389,3.16150394097231
4.31243878930466,5.00221154588953
5.76373085623232,3.95027904739606
4.10955624962771,5.85489883743749
3.86568988050452,4.87067149443556
3.30842587679595,5.44821540526611
6.04318785001298,4.31727260127546
6.10226280908593,5.6240809081212
5.95153118799234,5.44918317200079
3.73377639773145,4.24001392540172
4.98053293676435,5.00195164095793
2.99570566863447,7.75974329317414
6.31421372693914,6.21886350020118
4.09322111749035,6.15680052233911
5.04618853096058,3.42269395204995
4.12766239277217,5.29767397156369
6.58315379369767,6.26474327564089
5.25317764861083,4.7033690443905
4.09178752330548,4.75632542096984
7.09099766206852,5.12377491715675
5.04527354432098,4.58271081068183
3.76936013284555,5.1513644609899
7.00702186070484,3.99026595168062
5.45386905157126,4.8652608801483
5.70482350537694,6.22675385430321
4.79716871604899,4.59113477234926
2.70006793744601,6.42098102066022
5.18425994723231,5.65861273873265
5.74201594156745,5.85832097399179
4.67276608504106,4.68370395568196
6.0615124309179,4.76774693549218
5.88631798599075,4.64369766686852
5.20871410591148,7.95027614837489
5.92783233176485,5.58878380488547
4.0810994558386,5.01658538625207
6.97985447131094,5.45083175936273
5.48392856621191,4.5217990160279
5.31512688081886,5.27876052559412
4.38737318780251,4.89129076981866
5.5441052993568,7.18425809772669
6.34147572841983,5.04709838075558
5.4208022100654,6.04204407780876
6.6672243392302,6.255520290901
4.75807091258968,5.2525796260672
4.83910923893724,4.42047778290434
4.69739771654057,5.48298419486926
5.75972668133545,4.88068137169789
4.4201576494283,5.12677108397999
4.98646157584797,4.69720471299498
4.72275242768728,4.0819026181378
5.21022994665401,5.31219480442896
1.73013009951426,5.27925322147542
5.03330115241903,5.27023876813305
3.92458411751304,4.5001234277354
2.92207853650061,5.42259489559845
5.73754793715069,4.24518891269721
4.99714212411502,2.63227483133388
4.59680425478953,5.23496001502939
6.72216125112737,4.7489591495333
6.04063471971111,4.12475669432043
5.91899313753266,4.88240087388685
6.61626424119436,4.96279381902756
5.65191509248462,5.71520790139169
4.8174867339712,5.32655089108
6.42085278264762,5.42763116003591
5.65679571861719,5.81756740732763
5.01935750325205,4.92601873237676
4.58080869647408,4.72132578436636
5.7473354871558,5.67414525408877
5.17788523986755,6.50908201338645
5.03475544406483,5.39113496676339
5.40476781982912,3.90916328025911
4.75987346506833,3.75942632057051
4.88591662932562,4.45321726974973
5.05169866235519,4.66925568514071
4.1179746945193,4.17716603851609
5.71267414142643,7.20370924885222
4.6373497064862,4.92621529687034
4.85151490021335,4.68478531986497
2.16109993309097,5.38493133637504
4.76525715392602,5.32253332178604
3.5957568701851,5.16049383807539
2.90379782872298,4.46643456074078
4.15719214411363,3.88157440342226
5.3794628771427,3.71787874701965
4.8872140575905,4.77119942544615
5.72995375685026,4.65294624366921
4.9153958949771,4.72722820696994
4.12832756632601,4.9391055675722
4.80426433612468,5.77675557235324
5.30742226966142,5.07950424233305
3.37634938490879,4.15553241695671
6.02771505448897,4.615959057036
4.43165878216032,5.3556925236412
4.99486398925667,4.97816728109516
4.9620792582137,5.77145997520316
3.49436838469717,3.62314046432304
4.3666883574461,4.21239786100636
5.22486676652682,5.35770197370912
4.77581731192715,4.33949870029421
3.2113382078918,4.85649412159496
2.30364213860853,3.38978663422779
5.46219487946346,5.98851221212793
4.89399676111117,5.21332692326043
4.89295066128705,4.76262794977275
5.90878840088701,5.95906047936947
4.53552438751199,4.82140066517482
4.99608724597582,5.72581349439076
5.28364602392462,7.36230032955263
4.85574953423735,4.85741481522508
5.25640922072689,4.70477143013914
5.42726711760976,4.49479969382237
6.46627416395015,4.232663888285
4.66140824188867,4.87216366785656
6.4945887767119,5.30946592409919
5.54540239455237,3.0965371924386
5.32493728097432,4.40456425890763
5.4301108180184,3.5806911755518
4.22068722960976,6.19392196997171
5.36204103425061,6.19297040018728
4.79725264125255,5.87025995031291
5.98268427739927,2.33264378968756
6.13184204933233,6.47564891464877
5.86644227789098,4.91329803043623
6.57215013548138,5.4429300743402
4.59784347137465,3.76982967979889
4.39023454029923,5.68391674411244
6.00848150636509,4.5769309254003
5.77602315569854,5.64819438848493
5.45911058654689,5.06632424264909
3.45274743823333,5.14862579881699
4.57399823447609,3.38535272785071
4.69078501100793,4.28238725211521
6.67141768888431,4.75017659909641
4.40161885056459,4.77085083122744
4.77411682920671,4.04266260922663
5.1817146550215,5.42071572507797
5.63404148647707,5.52332915062585
5.84472214669276,4.33431043529392
4.44232332711843,6.99966999062826
5.43460559825552,5.26288930789246
4.23938450903533,5.76272624496952
5.30152408061548,4.90199453333473
5.70877294652846,4.20764726080509
5.79285876015029,5.17120371246261
5.0341230359682,3.74707988488584
